city_name,country,date,lat,lon,max_temp_C,max_temp_F,cloud_cover%,humidity%,wind_speed
Te Anau,NZ,1613566195,-45.4167,167.7167,7.9500000000000455,46.31000000000008,0.0,81.0,0.74
Padang,ID,1613566195,-0.9492,100.3543,28.0,82.4,90.0,69.0,1.54
Lavrentiya,RU,1613566195,65.5833,-171.0,-25.49999999999997,-13.899999999999949,0.0,84.0,4.0
Faranah,GN,1613566196,10.0404,-10.7434,27.75,81.95,90.0,50.0,1.82
Kapaa,US,1613566196,22.0752,-159.319,22.0,71.6,90.0,88.0,5.14
Kyustendil,BG,1613566197,42.2839,22.6911,1.670000000000016,35.00600000000003,71.0,55.0,0.73
Bagn,NO,1613566197,60.8225,9.5521,-2.2199999999999704,28.004000000000055,100.0,81.0,1.4
Petropavlovsk-Kamchatskiy,RU,1613566197,53.0452,158.6483,0.0,32.0,75.0,64.0,5.0
Torbay,CA,1613566197,47.6666,-52.7314,5.0,41.0,90.0,100.0,10.29
Lakatoro,VU,1613566198,-16.0999,167.4164,27.25,81.05000000000001,100.0,80.0,1.89
Altamont,US,1613566198,42.2068,-121.7372,-2.0,28.4,1.0,69.0,6.17
Cockburn Town,TC,1613566028,21.4612,-71.1419,25.52000000000004,77.93600000000006,0.0,73.0,9.71
Nemuro,JP,1613565914,43.3236,145.575,-2.159999999999968,28.11200000000006,100.0,89.0,9.36
Cap-aux-Meules,CA,1613566199,47.3821,-61.8597,-3.0,26.6,100.0,86.0,10.8
Springfield,US,1613565948,37.2153,-93.2982,-10.560000000000002,12.991999999999994,90.0,85.0,4.12
Ostrovnoy,RU,1613566199,68.0531,39.5131,-12.0,10.399999999999999,100.0,89.0,12.73
Namatanai,PG,1613566199,-3.6667,152.4333,26.700000000000045,80.06000000000009,100.0,81.0,2.52
São Filipe,CV,1613566200,14.8961,-24.4956,23.160000000000025,73.68800000000005,73.0,67.0,3.03
Kiunga,PG,1613566200,-6.1219,141.2906,24.02000000000004,75.23600000000008,100.0,95.0,0.75
Manaure,CO,1613566200,11.7751,-72.4445,25.650000000000034,78.17000000000007,88.0,71.0,7.77
Cabañas,CU,1613566200,22.9758,-82.9219,22.0,71.6,75.0,100.0,1.03
Timbó,BR,1613566200,-26.8233,-49.2717,28.33000000000004,82.99400000000009,0.0,60.0,1.63
Smithers,CA,1613566201,54.7804,-127.1743,-12.0,10.399999999999999,75.0,92.0,2.06
Vila Franca do Campo,PT,1613566201,37.7167,-25.4333,16.670000000000016,62.00600000000003,40.0,77.0,8.75
San Patricio,US,1613566201,28.017,-97.5169,1.0,33.8,90.0,100.0,7.72
Bonthe,SL,1613566202,7.5264,-12.505,28.420000000000016,83.15600000000003,100.0,70.0,3.55
Lüderitz,NA,1613566202,-26.6481,15.1594,22.79000000000002,73.02200000000005,0.0,52.0,7.66
Ixtapa,MX,1613566127,20.7,-105.2,19.0,66.2,90.0,88.0,1.54
Aksarayskiy,RU,1613566202,46.7924,48.0119,-10.0,14.0,90.0,79.0,7.0
Chicama,PE,1613566203,-7.8447,-79.1469,22.0,71.6,0.0,83.0,1.54
Loviisa,FI,1613566203,60.4566,26.2251,-14.439999999999998,6.008000000000003,23.0,83.0,2.04
Ambilobe,MG,1613566204,-13.2,49.05,29.370000000000005,84.86600000000001,100.0,75.0,3.21
Florø,NO,1613566205,61.5996,5.0328,5.0,41.0,75.0,52.0,9.26
Nsanje,MW,1613566206,-16.92,35.262,28.83000000000004,83.89400000000008,100.0,76.0,1.58
Piedras Negras,MX,1613566206,28.7,-100.5167,-1.1099999999999568,30.002000000000077,0.0,90.0,1.85
Ola,RU,1613566206,59.5833,151.2833,-18.75999999999999,-1.7679999999999865,22.0,83.0,5.57
Mar del Plata,AR,1613566184,-38.0023,-57.5575,21.670000000000016,71.00600000000003,75.0,94.0,3.6
Rio Grande,BR,1613565993,-32.035,-52.0986,23.33000000000004,73.99400000000009,40.0,73.0,4.63
Faanui,PF,1613566207,-16.4833,-151.75,27.010000000000048,80.61800000000008,100.0,76.0,6.26
Kanelovskaya,RU,1613566208,46.5908,39.19,-4.269999999999982,24.314000000000032,94.0,89.0,3.7
Saldanha,ZA,1613566208,-33.0117,17.9442,25.0,77.0,0.0,75.0,5.14
Kyzyl-Suu,KG,1613566208,42.3414,78.0056,0.7100000000000364,33.27800000000006,0.0,74.0,3.08
Klaksvík,FO,1613566208,62.2266,-6.589,6.0,42.8,20.0,87.0,8.75
Clyde River,CA,1613566208,70.4692,-68.5914,-27.99999999999997,-18.39999999999995,80.0,76.0,0.46
Labuhan,ID,1613566209,-6.8844,112.2051,23.730000000000018,74.71400000000003,100.0,93.0,6.1
Olafsvik,IS,1613566209,64.8945,-23.7142,3.3700000000000045,38.06600000000001,100.0,94.0,5.53
Geraldton,AU,1613566209,-28.7667,114.6,22.0,71.6,75.0,73.0,5.14
Kyotera,UG,1613566209,-0.6156,31.5175,29.890000000000043,85.80200000000008,60.0,39.0,5.25
Tsaratanana,MG,1613566209,-16.7833,47.65,29.910000000000025,85.83800000000005,100.0,62.0,2.21
Teya,RU,1613566209,60.3778,92.6267,-18.539999999999964,-1.371999999999936,99.0,88.0,2.88
Zheleznodorozhnyy,RU,1613566210,55.7503,38.0042,-7.21999999999997,19.004000000000055,40.0,79.0,2.0
Mercedes,AR,1613566210,-34.6515,-59.4307,20.0,68.0,0.0,85.0,2.68
Alcúdia,ES,1613566210,39.8532,3.1214,17.220000000000027,62.99600000000005,20.0,72.0,3.6
Forécariah,GN,1613566210,9.4306,-13.0881,32.0,89.6,47.0,48.0,3.09
Shahe,CN,1613566210,39.2708,113.5478,-1.259999999999991,29.732000000000017,0.0,77.0,2.88
Lompoc,US,1613566049,34.6391,-120.4579,9.0,48.2,1.0,81.0,4.12
Makakilo City,US,1613566211,21.3469,-158.0858,22.0,71.6,1.0,83.0,1.54
Hithadhoo,MV,1613566211,-0.6,73.0833,28.32000000000005,82.97600000000008,19.0,64.0,1.82
Aykhal,RU,1613566211,66.0,111.5,-31.23999999999998,-24.231999999999964,100.0,83.0,2.73
Aklavik,CA,1613566211,68.2191,-135.0107,-31.99999999999997,-25.59999999999995,100.0,83.0,0.51
Avila,ES,1613566211,40.5833,-5.0,14.439999999999998,57.992,100.0,58.0,2.5
Sørkjosen,NO,1613566211,69.8,20.9333,-9.0,15.8,0.0,48.0,5.14
Rucheng,CN,1613566212,32.3883,120.5553,3.330000000000041,37.99400000000007,0.0,59.0,1.7
Mwinilunga,ZM,1613566212,-11.7358,24.4293,24.670000000000016,76.40600000000003,100.0,70.0,1.9
Flinders,AU,1613566212,-34.5833,150.8552,21.110000000000014,69.99800000000002,30.0,76.0,0.89
Cabedelo,BR,1613566212,-6.9811,-34.8339,30.0,86.0,75.0,66.0,4.63
Bambous Virieux,MU,1613566212,-20.3428,57.7575,29.0,84.2,75.0,79.0,1.54
Linares,CL,1613566106,-35.85,-71.6,15.710000000000036,60.27800000000006,3.0,62.0,1.05
Dali,CN,1613566213,25.7,100.1833,10.300000000000011,50.54000000000002,0.0,47.0,2.83
Cayenne,GF,1613566213,4.9333,-52.3333,27.0,80.6,20.0,65.0,5.66
Tuatapere,NZ,1613566214,-46.1333,167.6833,9.439999999999998,48.992,1.0,88.0,0.89
Noumea,NC,1613566038,-22.2763,166.4572,27.78000000000003,82.00400000000005,0.0,94.0,1.03
Coyhaique,CL,1613566048,-45.5752,-72.0662,13.0,55.400000000000006,75.0,62.0,1.54
Kaitangata,NZ,1613566215,-46.2817,169.8464,10.560000000000002,51.00800000000001,95.0,82.0,0.45
Daru,PG,1613566215,-9.0763,143.2092,25.840000000000032,78.51200000000006,100.0,82.0,2.94
San Policarpo,PH,1613566216,12.1791,125.5072,25.82000000000005,78.47600000000008,100.0,83.0,8.37
San Jose,US,1613566216,37.3394,-121.895,6.670000000000016,44.00600000000003,1.0,87.0,2.06
Merauke,ID,1613566216,-8.4667,140.3333,25.930000000000007,78.674,97.0,85.0,4.17
Sinop Province,TR,1613566217,41.7711,34.8709,1.0,33.8,75.0,69.0,9.26
Alexandria,EG,1613566208,31.2156,29.9553,11.0,51.8,40.0,66.0,8.75
Ambulu,ID,1613566217,-8.345,113.6058,25.850000000000023,78.53000000000004,100.0,85.0,3.12
Fort Nelson,CA,1613566217,58.8053,-122.7002,-26.99999999999997,-16.59999999999995,1.0,76.0,1.54
Dunedin,NZ,1613565921,-45.8742,170.5036,10.560000000000002,51.00800000000001,0.0,76.0,0.45
Sunndalsøra,NO,1613566218,62.6754,8.5515,5.0,41.0,0.0,42.0,2.57
Kuala Terengganu,MY,1613565937,5.3302,103.1408,27.0,80.6,20.0,65.0,3.09
Fort Saint James,CA,1613566218,54.4333,-124.25,-14.919999999999959,5.144000000000073,42.0,93.0,1.1
Seoul,KR,1613565642,37.5683,126.9778,-8.0,17.6,20.0,48.0,6.69
Yar-Sale,RU,1613566218,66.8333,70.8333,-32.73999999999998,-26.931999999999967,56.0,83.0,4.66
Sungai Penuh,ID,1613566219,-2.0833,101.3833,19.07000000000005,66.32600000000009,100.0,96.0,0.07
Itaguaí,BR,1613566078,-22.8522,-43.7753,29.0,84.2,0.0,61.0,4.63
Airai,TL,1613566219,-8.9266,125.4092,16.560000000000002,61.80800000000001,100.0,100.0,0.68
Santa Vitória do Palmar,BR,1613566219,-33.5189,-53.3681,21.900000000000034,71.42000000000007,49.0,83.0,3.86
Bredasdorp,ZA,1613566219,-34.5322,20.0403,27.0,80.6,2.0,44.0,5.14
Minot,US,1613566034,48.2325,-101.2963,-18.329999999999984,-0.9939999999999714,90.0,78.0,1.19
Khanu Woralaksaburi,TH,1613566220,16.0617,99.8606,31.670000000000016,89.00600000000003,47.0,35.0,2.08
Machico,PT,1613566220,32.7,-16.7667,21.0,69.80000000000001,20.0,49.0,5.14
Foxton,NZ,1613566220,-40.4667,175.3,10.560000000000002,51.00800000000001,0.0,80.0,2.24
Cherskiy,RU,1613566221,68.75,161.3,-32.309999999999974,-26.15799999999995,0.0,86.0,0.51
Narsaq,GL,1613566221,60.9167,-46.05,-11.0,12.2,1.0,48.0,2.06
Taltal,CL,1613566221,-25.4,-70.4833,21.189999999999998,70.142,0.0,57.0,1.98
Necochea,AR,1613566221,-38.5473,-58.7368,17.220000000000027,62.99600000000005,71.0,91.0,0.89
Sikasso,ML,1613566221,10.9167,-7.0,37.58000000000004,99.64400000000008,42.0,28.0,2.11
Brae,GB,1613566221,60.3964,-1.353,7.0,44.6,75.0,87.0,12.35
Aktash,RU,1613566222,50.3,87.7333,-9.819999999999993,14.324000000000012,57.0,90.0,2.72
Grand Gaube,MU,1613566222,-20.0064,57.6608,28.890000000000043,84.00200000000008,100.0,77.0,0.89
Ekhabi,RU,1613566222,53.5102,142.9671,-9.159999999999968,15.512000000000057,100.0,96.0,9.17
Kyshtovka,RU,1613566223,56.555,76.6271,-19.419999999999987,-2.9559999999999818,100.0,91.0,4.85
Castro,BR,1613566048,-24.7911,-50.0119,21.670000000000016,71.00600000000003,0.0,66.0,2.31
Date,JP,1613566223,42.4681,140.8681,-3.2099999999999795,26.222000000000037,100.0,92.0,8.48
Itarema,BR,1613566223,-2.9248,-39.9167,26.30000000000001,79.34000000000003,100.0,76.0,3.62
Suntar,RU,1613566224,62.1444,117.6319,-23.869999999999976,-10.965999999999958,100.0,88.0,2.0
Bang Saphan,TH,1613566224,11.2126,99.5117,24.189999999999998,75.542,0.0,87.0,2.41
Mayya,RU,1613566225,61.7333,130.2811,-37.99999999999997,-36.39999999999995,0.0,67.0,2.0
Alofi,NU,1613566225,-19.0595,-169.9187,23.0,73.4,100.0,94.0,0.51
Hofn,IS,1613566225,64.2539,-15.2082,5.0,41.0,75.0,81.0,2.06
Haines Junction,CA,1613566226,60.7522,-137.5108,-28.99999999999997,-20.199999999999953,99.0,76.0,0.51
Wanning,CN,1613566226,18.8003,110.3967,19.310000000000002,66.75800000000001,44.0,85.0,4.48
Bethel,US,1613566226,41.3712,-73.414,-6.0,21.2,1.0,53.0,3.09
Vitim,RU,1613566227,59.4511,112.5578,-15.579999999999984,3.956000000000028,100.0,92.0,1.55
Yichun,CN,1613566227,47.7,128.9,-17.00999999999999,1.3820000000000157,100.0,94.0,2.29
Westport,US,1613566086,41.1415,-73.3579,-4.0,24.8,1.0,54.0,3.6
Ahipara,NZ,1613566227,-35.1667,173.1667,16.400000000000034,61.52000000000007,100.0,78.0,4.56
Bayan,CN,1613566228,46.0833,127.4,-13.769999999999982,7.214000000000031,99.0,94.0,4.37
Hakkâri Province,TR,1613566228,37.5833,44.1667,1.0,33.8,75.0,93.0,7.72
Lorengau,PG,1613566229,-2.0226,147.2712,28.24000000000001,82.83200000000002,100.0,78.0,2.93
Souillac,MU,1613566229,-20.5167,57.5167,29.0,84.2,75.0,79.0,1.54
Coruripe,BR,1613566229,-10.1256,-36.1756,30.29000000000002,86.52200000000005,100.0,57.0,5.63
Sindou,BF,1613566229,10.6667,-5.1667,36.58000000000004,97.84400000000008,67.0,26.0,2.73
Gazojak,TM,1613566229,41.1875,61.4036,20.33000000000004,68.59400000000008,54.0,25.0,5.6
Birobidzhan,RU,1613566230,48.8,132.95,-10.279999999999973,13.496000000000048,100.0,91.0,1.86
Beckley,US,1613566230,37.7782,-81.1882,-7.0,19.4,90.0,85.0,2.06
Pacific Grove,US,1613566071,36.6177,-121.9166,8.330000000000041,46.99400000000007,1.0,87.0,2.06
Iqaluit,CA,1613566230,63.7506,-68.5145,-26.669999999999987,-16.00599999999998,40.0,69.0,1.08
Saint-Pierre,RE,1613566230,-21.3393,55.4781,27.0,80.6,94.0,78.0,1.53
Anjiang,CN,1613566231,27.3194,110.1031,11.550000000000011,52.79000000000002,0.0,65.0,1.08
Port Alberni,CA,1613566231,49.2413,-124.8028,1.1100000000000136,33.998000000000026,0.0,90.0,0.56
Polunochnoye,RU,1613566231,60.8697,60.4153,-23.24999999999997,-9.849999999999952,100.0,88.0,1.5
Husavik,IS,1613566231,66.0449,-17.3389,2.0,35.6,90.0,87.0,6.17
Palāsbāri,IN,1613566231,26.1361,91.5486,21.0,69.80000000000001,75.0,64.0,0.35
Port Lincoln,AU,1613566232,-34.7333,135.8667,24.970000000000027,76.94600000000005,0.0,49.0,5.41
Abū Zabad,SD,1613566232,12.35,29.25,27.03000000000003,80.65400000000005,0.0,18.0,10.17
Grand-Santi,GF,1613566232,4.25,-54.3833,26.220000000000027,79.19600000000005,46.0,67.0,2.1
Hukuntsi,BW,1613566232,-24.0,21.75,30.310000000000002,86.558,97.0,37.0,6.47
Santa Catarina de Tepehuanes,MX,1613565978,25.35,-105.7333,4.2900000000000205,39.72200000000004,0.0,71.0,4.19
Mukhtolovo,RU,1613566233,55.4644,43.1953,-13.629999999999995,7.466000000000008,100.0,94.0,3.25
Sochi,RU,1613566233,43.6,39.7303,4.0,39.2,90.0,75.0,6.0
Lamar,US,1613566233,33.6668,-95.5836,-6.669999999999959,19.99400000000007,90.0,93.0,5.66
Meulaboh,ID,1613566234,4.1363,96.1285,26.920000000000016,80.45600000000003,6.0,78.0,2.16
Ilebo,CD,1613566234,-4.3167,20.5833,35.01000000000005,95.01800000000009,100.0,36.0,1.7
Saint George,US,1613566234,37.1041,-113.5841,2.7800000000000296,37.004000000000055,1.0,69.0,1.36
Matara,LK,1613566235,5.9485,80.5353,26.03000000000003,78.85400000000006,89.0,78.0,1.47
Šibenik,HR,1613566235,43.7272,15.9058,8.890000000000043,48.00200000000008,90.0,76.0,1.03
Marsh Harbour,BS,1613566235,26.5412,-77.0636,23.960000000000036,75.12800000000007,0.0,82.0,7.79
Puerto Nariño,CO,1613566236,-3.7703,-70.3831,24.0,75.2,75.0,100.0,1.54
Los Llanos de Aridane,ES,1613566236,28.6585,-17.9182,22.0,71.6,20.0,53.0,2.06
Praia da Vitória,PT,1613566237,38.7333,-27.0667,15.560000000000002,60.00800000000001,40.0,88.0,9.81
Richards Bay,ZA,1613566237,-28.783,32.0377,24.590000000000032,76.26200000000006,1.0,64.0,4.22
Guiratinga,BR,1613566237,-16.3494,-53.7583,24.390000000000043,75.90200000000007,100.0,83.0,0.87
Murray Bridge,AU,1613566238,-35.1167,139.2667,25.560000000000002,78.00800000000001,0.0,49.0,2.22
La Palma,US,1613566238,33.8464,-118.0467,10.0,50.0,1.0,93.0,1.54
College,US,1613566238,64.8569,-147.8028,-11.109999999999957,12.002000000000077,90.0,78.0,1.41
Zhangaözen,KZ,1613566238,43.3,52.8,5.520000000000039,41.93600000000007,100.0,91.0,5.0
Biu,NG,1613566238,10.6129,12.1946,29.129999999999995,84.434,0.0,17.0,6.33
Bandarbeyla,SO,1613566239,9.4942,50.8122,25.960000000000036,78.72800000000007,79.0,61.0,5.59
Togur,RU,1613566239,58.3631,82.8265,-17.99999999999997,-0.39999999999994884,99.0,92.0,3.56
Barra do Garças,BR,1613566239,-15.89,-52.2567,26.0,78.80000000000001,40.0,78.0,1.46
Sabang,ID,1613566222,5.8933,95.3214,28.120000000000005,82.61600000000001,0.0,74.0,7.33
Mahibadhoo,MV,1613566240,3.7833,72.9667,28.010000000000048,82.41800000000009,99.0,72.0,4.88
Craig,US,1613566240,40.5153,-107.5464,-7.0,19.4,90.0,93.0,0.35
Makkah al Mukarramah,SA,1613566240,21.4267,39.8261,22.950000000000045,73.31000000000009,97.0,55.0,8.23
Tahe,CN,1613566240,52.3333,124.7333,-21.309999999999974,-6.357999999999954,0.0,86.0,1.82
Flagstaff,US,1613566143,35.1981,-111.6513,-5.560000000000002,21.991999999999997,1.0,79.0,2.57
Nhulunbuy,AU,1613566240,-12.2333,136.7667,27.0,80.6,100.0,89.0,2.57
Kyrylivka,UA,1613566241,46.3759,35.3675,-4.0,24.8,0.0,77.0,2.05
Cranbrook,CA,1613566241,49.4999,-115.7688,-12.0,10.399999999999999,75.0,85.0,0.59
Touros,BR,1613566241,-5.1989,-35.4608,30.0,86.0,40.0,62.0,6.17
Batemans Bay,AU,1613566241,-35.7167,150.1833,16.670000000000016,62.00600000000003,69.0,90.0,1.78
São Félix do Xingu,BR,1613566241,-6.6447,-51.995,22.939999999999998,73.292,98.0,92.0,1.02
Kenai,US,1613566241,60.5544,-151.2583,-2.2199999999999704,28.004000000000055,90.0,80.0,10.8
Boende,CD,1613566242,-0.2167,20.8667,30.02000000000004,86.03600000000007,65.0,56.0,1.99
Māngrol,IN,1613566242,21.1167,70.1167,25.33000000000004,77.59400000000008,0.0,55.0,5.47
Juradó,CO,1613566242,7.1053,-77.7641,24.560000000000002,76.208,93.0,84.0,2.08
Lata,PT,1613566242,40.1629,-8.3327,15.560000000000002,60.00800000000001,100.0,91.0,0.89
